OBJECTID,addrptid,FullAddNum,RoadName,FullAddr,NumPoints,PointType,LUC,parcel_id,loc_id,Notes,AddrStatus,last_edited_user,last_edited_date,GlobalID,lng,lat
3256,ADDR-6004,87,RONALD RD,87 RONALD RD,1,Residential,101,093.0-0007-0009.0,F_745427_2981223,,Current,,,1ef71641-4e56-4522-99f4-24f7a623c570,-71.16944973586247,42.42820097798449
3257,ADDR-6005,83,RONALD RD,83 RONALD RD,1,Residential,101,093.0-0007-0010.0,F_745400_2981184,,Current,,,d4cbf8d6-d209-41b5-a07c-9c6af41df67e,-71.16957438307388,42.42810934430062
3258,ADDR-6006,79,RONALD RD,79 RONALD RD,1,Residential,101,093.0-0007-0011.0,F_745357_2981145,,Current,,,00487fac-a092-46c2-a975-c6f5020bba43,-71.16961463134263,42.42793168241489
3259,ADDR-6007,205,WASHINGTON ST,205 WASHINGTON ST,1,Residential,101,093.0-0007-0012.0,F_745388_2981099,,Current,,,92bcf999-2181-4611-b207-ae13c0d53e3f,-71.16951463146702,42.42780768289192
3260,ADDR-6008,8,CHATHAM ST,8 CHATHAM ST,1,Residential,101,093.0-0007-0013.0,F_745421_2981062,,Current,,,4ba76894-7a0a-4cc8-b4dc-a6c83f9f9d31,-71.16940463159555,42.427740683126466
3261,ADDR-6009,12,CHATHAM ST,12 CHATHAM ST,1,Residential,101,093.0-0007-0014.0,F_745488_2981125,,Current,,,9ade953a-676b-463b-8929-16c984690707,-71.16913046330387,42.427872963704885
3262,ADDR-6010,16,CHATHAM ST,16 CHATHAM ST,1,Residential,101,093.0-0007-0016.0,F_745533_2981180,,Current,,,94d387af-3eae-459f-a0a4-cc240fda23cc,-71.16897146151587,42.42801896453409
3263,ADDR-6011,18,CHATHAM ST,18 CHATHAM ST,1,Residential,101,093.0-0007-0018.0,F_745565_2981228,,Current,,,bfdfcbce-1957-4fcd-8ceb-e023cd4cd169,-71.16885546141958,42.42815296397911
3264,ADDR-6012,28,CHATHAM ST,28 CHATHAM ST,1,Residential,101,093.0-0007-0019.0,F_745595_2981269,,Current,,,66c2337a-bed4-4c6e-92d4-c049bdcdca6a,-71.16871640882803,42.428245816718245
3265,ADDR-6013,32,CHATHAM ST,32 CHATHAM ST,1,Residential,101,093.0-0007-0020.0,F_745624_2981312,,Current,,,0a490761-1be5-4226-abe5-debfc51bd5ad,-71.16861084037063,42.428363834610245
3266,ADDR-6014,36,CHATHAM ST,36 CHATHAM ST,1,Residential,101,093.0-0007-0021.0,F_745654_2981354,,Current,,,cdc2dd3b-6839-40c2-b7ee-b0116b31d8db,-71.16852446113762,42.428495964478586
3267,ADDR-6015,40,CHATHAM ST,40 CHATHAM ST,1,Residential,101,093.0-0007-0022.0,F_745683_2981393,,Current,,,fc163f4e-553a-46ab-a913-250c3ed20614,-71.16841946177055,42.42860496401565
3268,ADDR-6016,44,CHATHAM ST,44 CHATHAM ST,1,Residential,101,093.0-0007-0023.0,F_745710_2981432,,Current,,,a45c164f-dd6a-4dd2-aa16-f705dfb10b2b,-71.16831746115655,42.42871096428924
3269,ADDR-6017,48,CHATHAM ST,48 CHATHAM ST,1,Residential,101,093.0-0007-0024.0,F_745738_2981472,,Current,,,0ff0024e-642d-40e6-b73c-553a1829aa41,-71.168221461029,42.428819964358844
3270,ADDR-6018,26,AERIAL ST,26 AERIAL ST,1,Residential,101,094.0-0001-0002.0,F_744395_2981877,,Current,,,dd734979-b87e-4092-9336-4513a3287a19,-71.17324339438576,42.429977119400085
3271,ADDR-6019,22,AERIAL ST,22 AERIAL ST,1,Residential,101,094.0-0001-0004.0,F_744336_2981875,,Current,,,a3db9747-b0b6-4ca8-82b7-b80c54683b78,-71.17341663260999,42.42996068312606
3272,ADDR-6020,16,AERIAL ST,16 AERIAL ST,1,Residential,101,094.0-0001-0005.0,F_744263_2981859,,Current,,,82c695f0-3413-4d92-b08c-0f0e4ce50ae1,-71.17377057417266,42.42985222625035
